query	grouping_confidence	location_confidence	orientation_confidence
scaffold_162	0.45381703780170085	1.0	1.0
scaffold_51	0.5314934727656775	1.0	1.0
scaffold_380	1.0	1.0	1.0
scaffold_72	0.7613919950088784	0.9714134827332843	1.0
scaffold_111	0.565980318106685	1.0	1.0
scaffold_28	0.23391596891875255	1.0	1.0
scaffold_36	0.2612177519152835	1.0	1.0
scaffold_298	1.0	1.0	1.0
scaffold_49	0.2404665842389536	1.0	1.0
scaffold_381	0.5286352991271024	1.0	1.0
scaffold_737	1.0	1.0	1.0
scaffold_147	0.9820156362569042	1.0	1.0
scaffold_328	0.7244803695150116	1.0	1.0
scaffold_905	1.0	1.0	1.0
scaffold_581	1.0	1.0	1.0
scaffold_145	0.6623248100994972	1.0	1.0
scaffold_176	0.9120624466398342	1.0	1.0
scaffold_71	0.21328401453440046	1.0	1.0
scaffold_58	0.3327650234275972	1.0	1.0
scaffold_136	0.7426345750524318	1.0	1.0
scaffold_190	0.7438183547313362	1.0	1.0
scaffold_61	0.5038599884624521	1.0	1.0
scaffold_633	1.0	1.0	1.0
scaffold_313	0.8758278145695364	1.0	1.0
scaffold_207	0.42572928821470246	1.0	1.0
scaffold_59	0.2039362234281799	1.0	1.0
scaffold_78	0.32475177099059344	1.0	1.0
scaffold_64	0.38083660158355975	1.0	1.0
scaffold_87	0.4839136255739267	1.0	1.0
scaffold_66	0.5010605534051553	1.0	1.0
scaffold_178	0.4900314795383001	1.0	1.0
scaffold_75	0.3952919892745227	1.0	1.0
scaffold_258	0.8488003621548211	1.0	1.0
scaffold_86	0.6828453399043339	0.9232721535732834	1.0
scaffold_70	0.4730039124764527	1.0	1.0
scaffold_68	0.4875813038874603	1.0	1.0
scaffold_65	0.2925173441282406	1.0	1.0
scaffold_57	0.24477264672799273	1.0	1.0
scaffold_60	0.3743209550385549	1.0	1.0
scaffold_197	0.3750261597488664	1.0	1.0
scaffold_291	0.6924564796905223	1.0	1.0
scaffold_257	1.0	1.0	1.0
scaffold_408	1.0	1.0	1.0
scaffold_650	1.0	1.0	1.0
scaffold_249	1.0	1.0	1.0
scaffold_186	0.4249645390070922	1.0	1.0
scaffold_417	1.0	1.0	1.0
scaffold_614	1.0	1.0	1.0
scaffold_26	0.22037002987021548	1.0	1.0
scaffold_112	1.0	1.0	1.0
scaffold_237	0.548251620560577	1.0	1.0
scaffold_188	0.8565622266810722	1.0	1.0
scaffold_107	0.8555528961225467	1.0	1.0
scaffold_156	0.6147193431148203	1.0	1.0
scaffold_79	0.41197105131282996	1.0	1.0
scaffold_330	0.6954251096720284	1.0	1.0
scaffold_900	1.0	1.0	1.0
scaffold_1006	1.0	1.0	1.0
scaffold_74	0.28656697741350184	1.0	1.0
scaffold_181	0.2260942760942761	1.0	1.0
scaffold_180	0.7592058277388944	1.0	1.0
scaffold_263	0.9472635494155154	1.0	1.0
scaffold_195	0.29466307277628034	1.0	1.0
scaffold_295	0.4361318258359394	1.0	1.0
scaffold_396	0.6962025316455697	1.0	1.0
scaffold_192	0.837037037037037	1.0	1.0
scaffold_294	0.9389514426460239	1.0	1.0
scaffold_42	0.3028912056181479	1.0	1.0
scaffold_405	0.614555633310007	1.0	1.0
scaffold_52	0.22569334973236094	1.0	1.0
scaffold_243	0.5199103234760328	1.0	1.0
scaffold_841	1.0	1.0	1.0
scaffold_481	0.6166500498504487	1.0	1.0
scaffold_183	0.5808310991957104	1.0	1.0
scaffold_100	0.6814540493129324	1.0	1.0
scaffold_620	1.0	1.0	1.0
scaffold_746	1.0	1.0	1.0
scaffold_488	1.0	1.0	1.0
scaffold_867	1.0	1.0	1.0
scaffold_284	0.47129763627592863	1.0	1.0
scaffold_167	1.0	1.0	1.0
scaffold_242	0.8277822908204712	1.0	1.0
scaffold_201	0.6780856423173803	1.0	1.0
scaffold_217	0.4825793031721269	1.0	1.0
