query	grouping_confidence	location_confidence	orientation_confidence
scaffold_750	1.0	1.0	1.0
scaffold_1205	1.0	1.0	1.0
scaffold_1034	1.0	1.0	1.0
scaffold_560	1.0	1.0	1.0
scaffold_920	1.0	1.0	1.0
scaffold_807	1.0	1.0	1.0
scaffold_1046	1.0	1.0	1.0
scaffold_1202	1.0	1.0	1.0
scaffold_759	1.0	1.0	1.0
scaffold_273	0.623721881390593	1.0	1.0
scaffold_345	0.8170701272772648	1.0	1.0
scaffold_216	0.9825302757021386	1.0	1.0
scaffold_401	1.0	1.0	1.0
scaffold_320	1.0	1.0	1.0
scaffold_249	1.0	1.0	1.0
scaffold_545	1.0	1.0	1.0
scaffold_835	1.0	1.0	1.0
scaffold_1037	1.0	1.0	1.0
scaffold_883	1.0	1.0	1.0
scaffold_1319	1.0	1.0	1.0
scaffold_953	1.0	1.0	1.0
scaffold_1567	1.0	1.0	1.0
scaffold_114	0.5444141689373297	1.0	1.0
scaffold_225	0.5966795794133923	1.0	1.0
scaffold_1553	1.0	1.0	1.0
scaffold_1572	1.0	1.0	1.0
scaffold_201	0.7283565143343741	1.0	1.0
scaffold_448	0.5844113842173351	1.0	1.0
scaffold_1129	1.0	1.0	1.0
scaffold_24	0.9972038473803349	0.9799157173288876	0.9513223662550468
scaffold_46	1.0	1.0	1.0
scaffold_69	0.6814506989044201	1.0	1.0
scaffold_397	1.0	1.0	1.0
scaffold_608	0.5724770642201835	1.0	1.0
scaffold_1070	1.0	1.0	1.0
scaffold_776	0.6164383561643836	1.0	1.0
scaffold_1094	1.0	1.0	1.0
scaffold_940	1.0	1.0	1.0
scaffold_315	0.639181462533855	1.0	1.0
scaffold_334	1.0	1.0	1.0
scaffold_360	1.0	1.0	1.0
scaffold_379	0.4405833074775054	1.0	1.0
scaffold_738	1.0	1.0	1.0
scaffold_709	1.0	1.0	1.0
scaffold_417	1.0	1.0	1.0
scaffold_263	1.0	1.0	1.0
scaffold_926	1.0	1.0	1.0
scaffold_306	0.5283083219645294	1.0	1.0
scaffold_133	0.8778339585711956	1.0	1.0
scaffold_186	1.0	1.0	1.0
scaffold_6	0.9998304726986253	0.989995071179897	0.9905289649933258
scaffold_311	1.0	1.0	1.0
scaffold_106	1.0	1.0	1.0
scaffold_59	1.0	1.0	1.0
scaffold_1160	1.0	1.0	1.0
scaffold_590	0.6151202749140894	1.0	1.0
scaffold_331	0.810687718232883	1.0	1.0
scaffold_261	0.5581503043133104	1.0	1.0
scaffold_1126	1.0	1.0	1.0
scaffold_830	1.0	1.0	1.0
scaffold_1402	1.0	1.0	1.0
scaffold_267	1.0	1.0	1.0
scaffold_1384	1.0	1.0	1.0
scaffold_873	1.0	1.0	1.0
scaffold_111	0.9982675947409126	1.0	1.0
scaffold_291	1.0	1.0	1.0
scaffold_294	0.7694665849172287	1.0	1.0
scaffold_280	0.7978339350180506	1.0	1.0
scaffold_1542	1.0	1.0	1.0
scaffold_910	0.533278553820871	1.0	1.0
scaffold_432	0.8314332247557004	1.0	1.0
scaffold_453	0.8416965352449224	1.0	1.0
scaffold_778	1.0	1.0	1.0
scaffold_301	1.0	1.0	1.0
scaffold_650	1.0	1.0	1.0
scaffold_472	1.0	1.0	1.0
scaffold_380	1.0	1.0	1.0
scaffold_324	0.9776309100152516	1.0	1.0
scaffold_521	0.6797078768909754	1.0	1.0
scaffold_531	1.0	1.0	1.0
scaffold_542	1.0	1.0	1.0
scaffold_278	1.0	1.0	1.0
scaffold_1432	1.0	1.0	1.0
scaffold_1371	1.0	1.0	1.0
scaffold_1575	0.6939890710382514	1.0	0.6011904761904762
scaffold_1268	1.0	1.0	1.0
scaffold_1270	1.0	1.0	1.0
scaffold_1586	1.0	1.0	1.0
scaffold_1230	1.0	1.0	1.0
scaffold_1373	1.0	1.0	1.0
scaffold_706	1.0	1.0	1.0
scaffold_644	1.0	1.0	1.0
scaffold_376	0.8864481842338352	1.0	1.0
scaffold_247	0.4317910192931535	1.0	1.0
scaffold_1592	1.0	1.0	1.0
scaffold_354	0.7160751565762005	1.0	1.0
scaffold_132	0.3099464049558015	0.08003522772206047	0.6984055692791377
scaffold_822	0.5712025316455697	1.0	1.0
scaffold_400	0.6595744680851063	1.0	1.0
scaffold_154	0.5678328415728308	0.36543305560937805	0.9812552653748947
scaffold_625	1.0	1.0	1.0
scaffold_499	0.5464512406231967	1.0	1.0
scaffold_372	0.6387377584330794	1.0	1.0
scaffold_771	0.9038461538461539	1.0	1.0
scaffold_546	1.0	1.0	1.0
scaffold_1417	1.0	1.0	1.0
scaffold_1149	1.0	1.0	1.0
scaffold_1028	1.0	1.0	1.0
scaffold_279	0.773851590106007	1.0	1.0
scaffold_1226	1.0	1.0	1.0
scaffold_1394	1.0	1.0	1.0
scaffold_220	0.3371632835439806	1.0	1.0
scaffold_84	0.4588761911852293	1.0	1.0
scaffold_535	0.46029173419773095	1.0	1.0
scaffold_348	1.0	1.0	1.0
scaffold_504	0.3532271131514988	1.0	1.0
scaffold_226	0.5412160187079801	1.0	1.0
scaffold_570	1.0	1.0	1.0
scaffold_271	1.0	1.0	1.0
scaffold_358	1.0	1.0	1.0
scaffold_586	1.0	1.0	1.0
